user,paymentMethod,taxPrice,shippingPrice,totalPrice,isPaid,paidAt,isDelivered,createdAt,status,orderStatus,customerType,_id
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,900.00,39265.50,0,,0,2021-08-31 08:42:24,Pending Payment,On Hold,Ordinary,173
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,11343.50,0,,0,2021-08-31 08:41:21,Pending Payment,On Hold,Ordinary,172
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,11343.50,0,,0,2021-08-31 08:24:03,Pending Payment,On Hold,Ordinary,171
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,600.00,3140.10,0,,0,2021-08-31 08:07:16,Pending Payment,On Hold,Ordinary,170
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,1500.00,42487.38,0,,0,2021-08-31 06:09:18,Pending Payment,On Hold,Ordinary,169
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,2816.10,0,,0,2021-08-31 05:50:23,Pending Payment,On Hold,Ordinary,168
14,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,327.00,0,,0,2021-08-31 05:38:43,Pending Payment,On Hold,Ordinary,167
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,2816.10,0,,0,2021-08-31 05:32:03,Pending Payment,On Hold,Ordinary,166
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,330.80,0,,0,2021-08-31 04:40:25,Pending Payment,On Hold,Ordinary,165
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,394.71,0,,0,2021-08-29 12:58:53,Pending Payment,On Hold,Ordinary,164
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,397.17,0,,0,2021-08-29 11:56:04,Pending Payment,On Hold,Ordinary,163
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,11343.50,0,,0,2021-08-29 10:42:24,Pending Payment,On Hold,Ordinary,162
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,2816.10,0,,0,2021-08-29 10:39:54,Pending Payment,On Hold,Ordinary,161
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,38494.00,0,,0,2021-08-29 09:32:36,Pending Payment,On Hold,Ordinary,160
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,600.00,3146.90,1,2021-08-29 08:20:46,0,2021-08-29 08:17:20,Done,On Hold,Ordinary,159
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,38494.00,0,,0,2021-08-29 08:06:37,Pending Payment,On Hold,Ordinary,158
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,2816.10,0,,0,2021-08-29 08:03:26,Pending Payment,On Hold,Ordinary,157
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,2816.10,0,,0,2021-08-29 08:02:34,Pending Payment,On Hold,Ordinary,156
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,394.71,0,,0,2021-08-29 08:00:30,Pending Payment,On Hold,Ordinary,155
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,600.00,49837.50,0,,0,2021-08-29 07:53:35,Pending Payment,On Hold,Ordinary,154
7,ব্যাংক ডিপোজিট ফান্ড ট্রান্সফার (অনলাইন / অফলাইন পেমেন্ত),0.00,300.00,11343.50,0,,0,2021-08-29 07:50:36,Pending Payment,On Hold,Ordinary,153
7,PayPal,0.00,600.00,721.92,0,,0,2021-08-29 07:39:44,Pending Payment,On Hold,Ordinary,152
7,PayPal,0.00,1800.00,230964.00,0,,0,2021-08-29 07:20:17,Pending Payment,On Hold,Ordinary,151
7,PayPal,0.00,1800.00,230964.00,0,,0,2021-08-29 07:19:53,Pending Payment,On Hold,Ordinary,150
7,PayPal,0.00,1800.00,230964.00,0,,0,2021-08-29 07:19:10,Pending Payment,On Hold,Ordinary,149
7,PayPal,0.00,1800.00,230964.00,0,,0,2021-08-29 07:19:10,Pending Payment,On Hold,Ordinary,148
